13,5
15,87
15,14
13,24
13,33
11,51
13,68
9,23
31,81
45,35
52,59
59,19
61,27
64,13
64,18
65,23
65,22
65,5
65,71
65,41
66,1
65,26
66,37
65,1
66,56
65,75
66,65
66,31
66,81
67
66,94
67,58
67,09
68,24
67,21
68,84
68,2
69,6
69,38
70,23
70,48
70,85
71,5
71,32
72,45
71,72
73,19
72,26
73,7
73,12
73,88
73,6
73,72
73,76
73,25
73,67
72,61
73,48
71,95
73,19
72,2
73,01
72,53
72,89
73
72,98
73,59
73,08
74,19
73,18
74,69
73,81
75,06
74,64
75,3
75,26
75,39
75,78
75,34
76,11
75,12
76,35
75,17
76,41
75,66
76,38
76,05
76,22
76,36
76,04
76,61
75,74
76,77
75,45
76,91
75,99
76,89
76,44
76,8
76,73
76,56
76,96
76,25
77,06
75,82
77,14
76,08
77,15
76,49
77,03
76,82
76,8
77,01
76,49
77,11
75,96
76,94
75,37
75,63
72,48
68,87
61,46
50,67
31,46
19,61
13,35
1,42
5,76
6,25
6,39
8,02
