
432500;59,67;6,09
432600;71,52;7,07
432700;74,24;5,57
432800;74,53;8,85
432900;74,31;6,13
433000;74,14;2,06
433100;74,17;3,38
433200;73,74;1,25
433300;74,04;0
433400;73,42;1,62
433500;73,91;1,7
433600;72,93;2,39
433700;73,6;1,36
433800;72,84;0,81
433900;73,31;0,87
434000;72,82;1,39
434100;72,97;0,38
434200;72,67;0
434300;72,5;0,67
434400;72,28;0,48
434500;71,97;0
434600;72,33;0,72
434700;71,96;0,25
434800;72,62;0,53
434900;71,89;0,47
435000;72,72;0
435100;72,1;0,58
435200;72,96;0,27
435300;72,55;0,22
435400;73,1;0,19
435500;72,83;0,74
435600;73,03;0
435700;72,95;0,92
435800;72,93;0,62
435900;73,11;0,13
436000;72,78;0,02
436100;73,21;0,29
436200;72,69;0,64
436300;73,44;0,91
436400;72,8;0,54
436500;73,8;1,06
436600;73,38;0,79
436700;74,08;0
436800;73,85;0,31
436900;74,32;0,41
437000;74,32;2,06
437100;74,41;1,07
437200;74,5;0
437300;73,99;0,4
437400;71,18;1,12
437500;59,37;0,93
