-16,-17;
3,-16;
-16,6;
-37,-27;
-12,-11;
16,34;
31,-7;
-20,-12;
-8,-4;
16,-11;
-22,12;
22,-11;
23,-1;
-3,13;
6,-11;
16,-7;
21,-23;
-22,19;
10,15;
13,-21;
-12,-15;
11,-15;
-24,0;
-27,-16;
11,-11;
12,-26;
-34,-39;
-17,0;
33,-17;
9,-15;
-1,-8;
19,-34;
20,-1;
0,-6;
11,-11;
22,12;
16,-4;
2,28;
-18,30;
-10,-7;
5,1;
-1,-16;
-24,4;
15,34;
11,-4;
-20,-27;
14,-27;
-7,33;
-15,23;
15,-12;
17,15;
5,-15;
24,13;
1,-7;
-15,-13;
12,13;
-5,-27;
5,1;
-11,-15;
10,-39;
-2,16;
-7,39;
50,18;
-10,7;
-15,-5;
16,-10;
3,-17;
-8,-11;
-6,23;
36,9;
22,-27;
-9,-40;
8,-17;
5,-1;
16,17;
30,39;
-18,-9;
-26,-20;
-25,-20;
-21,-28;
-4,-3;
-3,2;
18,6;
1,-24;
20,-40;
21,-28;
1,-40;
22,-22;
-4,7;
-18,-2;
10,-22;
12,-17;
-2,-1;
4,6;
33,-5;
19,-29;
-22,-27;
-7,-7;
18,4;
0,-9;
-26,-10;
-5,24;
8,7;
-1,-19;
7,-12;
-18,-30;
-4,-8;
16,-29;
-44,-21;
-3,33;
-2,-30;
-38,7;
6,7;
-2,-58;
-6,-12;
-14,4;
-2,-3;
29,-32;
15,-34;
-9,17;
-4,-31;
4,-21;
-16,24;
-31,-25;
15,-9;
9,-13;
-17,-18;
25,27;
5,17;
13,-18;
21,-16;
-28,-9;
-7,-23;
1,4;
4,5;
0,-14;
-21,16;
12,24;
-12,-10;
-16,-18;
42,4;
2,-21;
3,-32;
2,-10;
-12,3;
31,-10;
-21,-13;
-2,21;
31,-1;
-19,0;
3,21;
5,-19;
-15,-11;
6,14;
33,8;
-9,-28;
-18,-10;
9,7;
-42,-20;
-5,2;
-3,1;
6,14;
29,-14;
-30,-41;
7,8;
6,17;
-24,4;
5,11;
25,-39;
-1,-43;
-12,6;
0,-31;
-16,-4;
-26,-9;
-11,-41;
12,-9;
0,-15;
-26,18;
0,18;
6,-26;
-18,-20;
34,-7;
39,-31;
-22,-26;
9,5;
18,-22;
-11,-17;
18,9;
-11,5;
-22,-7;
9,-4;
11,7;
-2,-5;
-8,2;
9,14;
0,-18;
-3,-7;
9,23;
2,3;
-33,-7;
-16,15;
3,29;
20,4;
57,3;
8,-27;
-24,-27;
9,24;
6,0;
-16,-32;
6,-30;
-3,-1;
2,-19;
23,-13;
-9,15;
-14,-22;
14,-28;
20,-36;
-2,-1;
27,11;
-11,-30;
-41,25;
42,5;
8,-16;
-29,28;
11,19;
9,19;
-12,-7;
-1,-24;
-5,-1;
-5,-7;
6,-34;
5,-9;
4,-26;
-42,-23;
0,10;
29,-18;
-10,10;
2,-35;
9,-23;
9,16;
0,-27;
9,2;
-6,3;
10,-24;
13,-16;
-6,10;
19,-14;
9,-26;
-6,-5;
4,-6;
4,-24;
-19,-27;
-23,-25;
-13,-22;
15,8;
2,-24;
-2,-32;
1,-5;
-21,4;
23,-4;
9,-15;
-11,-5;
20,-43;
-5,-38;
-16,9;
7,-14;
-25,16;
-7,29;
4,-30;
-24,-9;
-4,-25;
-12,-26;
8,-5;
-11,-5;
-34,6;
-12,-16;
-41,-11;
-37,10;
4,18;
36,-29;
11,-27;
-21,23;
