6,-8;
-5,-20;
0,1;
21,-1;
16,29;
-14,43;
-17,47;
-37,-28;
-37,-6;
10,35;
19,-47;
-2,-14;
29,6;
15,-20;
-28,29;
15,4;
-20,32;
-8,45;
33,-7;
-13,44;
18,21;
14,-3;
-30,47;
8,20;
28,6;
22,2;
15,-7;
-15,30;
21,26;
40,2;
6,-14;
23,11;
-1,26;
-26,1;
23,13;
-6,14;
-11,22;
26,26;
-26,8;
-13,3;
22,-11;
-26,-6;
6,1;
46,-8;
-25,17;
3,21;
5,8;
-40,28;
30,36;
34,19;
-4,5;
-12,34;
27,2;
23,-20;
-19,14;
3,-7;
18,29;
33,36;
-17,-15;
1,26;
49,40;
0,-10;
12,-5;
-14,-14;
-14,-30;
-18,11;
-22,-5;
9,-15;
-30,8;
17,3;
47,8;
-13,-6;
-15,8;
19,32;
-11,-19;
-19,-34;
-17,15;
-21,32;
45,6;
16,-9;
-10,10;
27,-1;
-12,-8;
0,-19;
39,-4;
28,22;
10,-20;
-9,-37;
0,-1;
-21,25;
-6,-16;
15,-22;
-23,29;
16,13;
-8,-20;
-22,18;
32,10;
3,-19;
-22,-1;
-17,32;
4,45;
9,10;
2,44;
-1,28;
14,-12;
0,4;
-27,2;
18,7;
5,20;
33,35;
18,-2;
-26,2;
25,-2;
-7,4;
-7,22;
-3,-13;
25,-1;
34,14;
-10,32;
6,21;
-10,20;
-17,-6;
6,-28;
1,28;
-25,-4;
-4,-8;
-3,16;
-3,-23;
22,-13;
-17,19;
11,11;
17,-47;
-45,-36;
-32,22;
-1,-7;
11,-23;
2,44;
10,11;
3,-41;
-24,28;
1,30;
12,5;
-9,-16;
23,6;
16,7;
-20,-6;
-8,51;
-9,4;
-3,2;
1,39;
18,-19;
-31,-3;
-31,21;
8,2;
-30,8;
3,5;
3,33;
2,4;
11,-11;
-9,23;
17,-1;
30,5;
12,5;
-3,19;
24,19;
-12,10;
-12,29;
38,31;
3,39;
-7,3;
-5,0;
36,17;
51,-5;
-9,14;
-1,23;
38,13;
42,23;
14,17;
-8,22;
-8,-3;
4,-10;
9,11;
4,-15;
26,13;
9,14;
-20,-12;
26,15;
24,-5;
-9,-10;
17,16;
32,16;
9,11;
-7,16;
-1,21;
16,27;
18,11;
4,-3;
6,18;
-1,9;
-22,20;
9,18;
20,-46;
-15,-19;
27,27;
24,8;
0,5;
9,-9;
-9,15;
17,21;
6,-27;
-20,-2;
14,28;
-1,13;
-8,-13;
4,-13;
-8,1;
30,41;
11,33;
10,3;
1,0;
-43,-2;
11,2;
-2,1;
-19,40;
16,-11;
9,-16;
2,26;
3,-17;
19,-5;
15,5;
14,6;
5,5;
8,-4;
-14,20;
-25,21;
10,-15;
-35,-9;
20,4;
41,6;
-33,-8;
10,2;
9,6;
-14,-21;
37,6;
-4,-9;
-41,-10;
11,12;
-3,-15;
-6,-6;
10,9;
4,-3;
5,4;
2,2;
9,23;
11,36;
-7,7;
12,34;
35,20;
-2,4;
17,30;
16,5;
-3,6;
16,0;
-20,-12;
-25,-8;
19,6;
27,14;
1,3;
15,24;
5,25;
17,-11;
32,6;
-2,21;
-12,11;
5,19;
47,6;
24,22;
-10,18;
14,-9;
10,13;
6,26;
29,-38;
-31,-23;
9,31;
32,-47;
-53,-30;
-11,38;
4,5;
20,-7;
18,19;
-13,13;
35,-7;
35,15;
15,23;
8,13;
-7,29;
9,11;
-21,-6;
1,12;
30,12;
-7,1;
33,-5;
22,20;
2,5;
8,-35;
5,-20;
20,-15;
-13,-14;
-22,33;
22,46;
30,-30;
-11,-25;
-16,0;
-2,-24;
18,26;
46,23;
5,-7;
-21,14;
29,7;
20,16;
-2,29;
10,17;
16,1;
-14,-24;
8,-1;
31,29;
10,-7;
22,-8;
-6,41;
-6,5;
-1,-13;
6,4;
19,-14;
0,-18;
25,9;
30,12;
14,-15;
29,16;
15,-18;
-29,-35;
-28,18;
0,15;
2,11;
32,22;
11,16;
-38,-2;
-12,31;
5,30;
32,6;
48,-10;
-37,-39;
-44,2;
37,-1;
20,-5;
-4,12;
-3,0;
-21,6;
-31,14;
-3,39;
17,23;
21,3;
7,-9;
-28,-14;
-4,5;
33,-8;
33,18;
8,27;
-13,-27;
-8,-16;
-4,4;
-15,-20;
-4,7;
2,26;
-26,-19;
-22,-8;
14,39;
-16,3;
-32,7;
33,22;
12,-23;
-10,28;
34,67;
11,13;
3,20;
41,38;
2,8;
-7,28;
41,4;
-14,-5;
-23,38;
1,-18;
-17,8;
14,45;
7,-1;
11,38;
9,17;
-15,-1;
0,12;
-15,-3;
-12,-3;
-8,-21;
22,17;
41,8;
0,-9;
-10,21;
17,-18;
-4,-4;
-8,56;
2,21;
-25,-13;
2,-23;
-7,-3;
-7,0;
12,19;
-1,50;
-9,-3;
18,8;
6,11;
-12,3;
26,19;
4,12;
22,18;
34,-11;
18,15;
-9,26;
-46,-19;
-10,6;
16,-14;
-5,-39;
1,18;
48,0;
-5,-20;
-7,6;
33,0;
2,-4;
23,-53;
12,-13;
-15,11;
3,-27;
15,15;
32,-19;
17,-14;
-12,36;
52,-15;
18,-14;
-29,15;
10,-7;
-30,-15;
-8,15;
5,36;
-25,-1;
-1,18;
-21,31;
-4,-12;
44,-28;
-8,27;
-22,33;
-1,8;
-5,35;
2,6;
-22,9;
-5,28;
7,13;
-21,9;
-1,17;
4,-22;
-2,-6;
17,39;
10,8;
-14,-9;
-15,-14;
6,10;
9,-6;
3,8;
17,37;
-12,-8;
-11,19;
16,25;
-32,-2;
-28,15;
11,9;
-2,21;
-9,-7;
-40,-8;
-16,24;
21,-8;
-23,36;
-8,4;
9,-27;
25,26;
-6,-5;
-21,28;
10,38;
-1,11;
14,15;
-1,0;
-25,40;
-10,33;
9,-15;
-9,-13;
-6,9;
2,-2;
-16,-10;
-3,35;
-22,4;
8,-4;
26,8;
-4,-31;
-1,8;
-5,21;
13,-13;
-10,5;
-28,15;
-23,0;
-12,-2;
-15,27;
-16,19;
14,8;
-8,22;
-22,3;
11,20;
30,2;
26,-25;
12,18;
1,-25;
31,-5;
12,47;
-32,-33;
-16,3;
-12,26;
5,0;
21,31;
12,-10;
23,-18;
18,-2;
-7,-20;
-17,19;
4,34;
19,-1;
1,23;
12,18;
6,-3;
-30,7;
10,14;
39,16;
-12,-17;
-9,16;
18,37;
-23,-13;
11,20;
27,-10;
-50,-59;
-23,8;
28,9;
-17,2;
-30,11;
14,-1;
6,23;
-9,0;
4,-15;
4,7;
